;mean;
coef_est_Intercept;-0.935146066338685;
coef_est_Z21;0.300678962327924;
coef_est_Z31;-0.299907498355001;
coef_se_Intercept;0.0121996359494566;
coef_se_Z21;0.0141207799742172;
coef_se_Z31;0.0141205334000496;
G_est_treat0;0.253600097752951;
G_est_treat1;0.314276463346531;
G_est_treat:1-0;0.0606763655935802;
G_se_treat0;0.00194379400215021;
G_se_treat1;0.00207337628825447;
G_se_treat:1-0;0.0028388444554556;
DR_est_treat0;0.253599911546317;
DR_est_treat1;0.314276277026976;
DR_est_treat:1-0;0.0606763654806586;
DR_se_treat0;0.00194379396320209;
DR_se_treat1;0.00207337639830504;
DR_se_treat:1-0;0.00283884445508424;
