;model;method;target;MeanEst;SD;MeanSE;Coverage;Truth;n_sims
1;BigCensNoID;DR;treat0;0.254728213537319;0.0266120057198048;0.0260078186862092;0.939;0.253600097752951;2000
2;BigCensNoID;G;treat0;0.254724168874041;0.0266191144843676;0.0260080672128439;0.9385;0.253600097752951;2000
3;BigCensNoID;DR;treat1;0.314575724749252;0.0284082788946105;0.0277387466809574;0.9425;0.314276463346531;2000
4;BigCensNoID;G;treat1;0.31457065758018;0.028402091795436;0.0277399501106155;0.9435;0.314276463346531;2000
5;BigCensNoID;DR;treat1-0;0.0598475112119332;0.0368547949574634;0.0380180404803725;0.9565;0.0606763655935802;2000
6;BigCensNoID;G;treat1-0;0.0598464887061387;0.0368542271945074;0.038018180618666;0.9565;0.0606763655935802;2000
7;BigCensWithID;DR;treat0;0.254728213537319;0.0266120057198048;0.0269492694454136;0.947;0.253600097752951;2000
8;BigCensWithID;G;treat0;0.254724168874041;0.0266191144843676;0.0269514876837667;0.9465;0.253600097752951;2000
9;BigCensWithID;DR;treat1;0.314575724749252;0.0284082788946105;0.0289394303535816;0.9535;0.314276463346531;2000
10;BigCensWithID;G;treat1;0.31457065758018;0.028402091795436;0.0289420946272612;0.953;0.314276463346531;2000
11;BigCensWithID;DR;treat1-0;0.0598475112119332;0.0368547949574634;0.0379799269488565;0.956;0.0606763655935802;2000
12;BigCensWithID;G;treat1-0;0.0598464887061387;0.0368542271945074;0.0379798287667985;0.956;0.0606763655935802;2000
13;SmallCensNoID;DR;treat0;0.254604618775847;0.0271198971660327;0.0264914464323251;0.9375;0.253600097752951;2000
14;SmallCensNoID;G;treat0;0.254681238944187;0.0265322009214217;0.0259874007979477;0.939;0.253600097752951;2000
15;SmallCensNoID;DR;treat1;0.31469977767147;0.0289562040405087;0.0283398237334337;0.945;0.314276463346531;2000
16;SmallCensNoID;G;treat1;0.314596912506667;0.0283581644708274;0.0277570533401665;0.9425;0.314276463346531;2000
17;SmallCensNoID;DR;treat1-0;0.0600951588956238;0.0384846213220173;0.0395293986993103;0.957;0.0606763655935802;2000
18;SmallCensNoID;G;treat1-0;0.0599156735624801;0.0367620148283866;0.0380046676895198;0.954;0.0606763655935802;2000
19;SmallCensWithID;DR;treat0;0.254604618775847;0.0271198971660327;0.0274245850776622;0.9465;0.253600097752951;2000
20;SmallCensWithID;G;treat0;0.254681238944187;0.0265322009214217;0.0269398543045539;0.9485;0.253600097752951;2000
21;SmallCensWithID;DR;treat1;0.31469977767147;0.0289562040405087;0.029531711034294;0.9525;0.314276463346531;2000
22;SmallCensWithID;G;treat1;0.314596912506667;0.0283581644708274;0.0289733549430879;0.9525;0.314276463346531;2000
23;SmallCensWithID;DR;treat1-0;0.0600951588956238;0.0384846213220173;0.039500987320959;0.959;0.0606763655935802;2000
24;SmallCensWithID;G;treat1-0;0.0599156735624801;0.0367620148283866;0.0379736651903912;0.954;0.0606763655935802;2000
