"","model","term","MeanEst","SD","MeanSE","Coverage","Truth","n_sims"
"1","BigCensNoID","Intercept",-0.934045391335659,0.170406245924821,0.164115736482522,0.9165,-1,2000
"2","BigCensNoID","Z21",0.298249181715838,0.184279155376597,0.190088223688204,0.956,0.3,2000
"3","BigCensNoID","Z31",-0.305076219143044,0.192300058809938,0.190130734607133,0.9455,-0.3,2000
"4","BigCensWithID","Intercept",-0.934045391335659,0.170406245924821,0.168323443756706,0.9205,-1,2000
"5","BigCensWithID","Z21",0.298249181715838,0.184279155376597,0.189789591058299,0.953,0.3,2000
"6","BigCensWithID","Z31",-0.305076219143044,0.192300058809938,0.189727571837394,0.945,-0.3,2000
"7","SmallCensNoID","Intercept",-0.934366712310761,0.16983941175118,0.16413999213611,0.915,-1,2000
"8","SmallCensNoID","Z21",0.298571387977837,0.183804927617821,0.190012297333746,0.955,0.3,2000
"9","SmallCensNoID","Z31",-0.304779696439505,0.191666993701957,0.190049276932142,0.947,-0.3,2000
"10","SmallCensWithID","Intercept",-0.934366712310761,0.16983941175118,0.168389335533805,0.922,-1,2000
"11","SmallCensWithID","Z21",0.298571387977837,0.183804927617821,0.189746480291874,0.954,0.3,2000
"12","SmallCensWithID","Z31",-0.304779696439505,0.191666993701957,0.189671261326717,0.9455,-0.3,2000
